,Sales Representative,Location,Customer,Product,Order Date,Quantity, Unit Price , Total Sale Amount 
,Abi,Delhi,Raymond Young,Cosmetic,1-Jan-16,6, ₹ 12.42 , ₹ 74.52 
,Yuvan,Kolkata,Helen Dean,Cosmetic,1-Jan-16,7, ₹ 12.42 , ₹ 86.94 
,Hari,Banglore,Shirley Chavez,Essential,1-Jan-16,2, ₹ 16.32 , ₹ 32.64 
,Yuvan,Chennai,Brian Ryan,Cosmetic,1-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Yuvan,Chennai,Benjamin Willis,Electronics,1-Jan-16,3, ₹ 17.83 , ₹ 53.49 
,Kishore,Banglore,Annie Jenkins,Gadgets,1-Jan-16,6, ₹ 53.35 , ₹ 320.10 
,Yuvan,Kolkata,Christina Little,Gadgets,1-Jan-16,6, ₹ 53.35 , ₹ 320.10 
,Kishore,Banglore,Mary Green,Essential,1-Jan-16,9, ₹ 16.32 , ₹ 146.88 
,Gowtham,Kolkata,Ruby Matthews,Electronics,2-Jan-16,6, ₹ 17.83 , ₹ 106.98 
,Yuvan,Kolkata,Kathryn Fox,Cosmetic,2-Jan-16,8, ₹ 12.42 , ₹ 99.36 
,Gowtham,Delhi,Kathryn Fox,Cosmetic,2-Jan-16,9, ₹ 12.42 , ₹ 111.78 
,Kishore,Gurgon,Carl Lawson,Cosmetic,2-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Yuvan,Delhi,Walter Kennedy,Cosmetic,2-Jan-16,1, ₹ 12.42 , ₹ 12.42 
,Kishore,Banglore,Pamela Alexander,Cosmetic,2-Jan-16,4, ₹ 12.42 , ₹ 49.68 
,Yuvan,Kolkata,Gloria Harper,Essential,2-Jan-16,8, ₹ 16.32 , ₹ 130.56 
,Gowtham,Kolkata,Harold Hunter,Gadgets,2-Jan-16,10, ₹ 53.35 , ₹ 533.50 
,Kishore,Banglore,Judy Sanchez,Gadgets,2-Jan-16,7, ₹ 53.35 , ₹ 373.45 
,Hari,Banglore,Christine Wallace,Cosmetic,2-Jan-16,4, ₹ 12.42 , ₹ 49.68 
